"SourceVariable","DummyColumn","Reason"
"fatteners_room_temperature","fatteners_room_temperature_15–<20","best practice temperature"
"fatteners_airflow","fatteners_airflow_<0.1","best practice to minimize any airflow"
"fatteners_air_quality","fatteners_air_quality_1","best air quality"
"fatteners_airspace_with_other_agegroup","fatteners_airspace_with_other_agegroup_2","lowest risk for transmission by using seperate buildings, but including fattening on farm"
"Farrowing_on_farm","Farrowing_on_farm_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"Isemination_on_farm","Isemination_on_farm_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"Gestation_on_farm","Gestation_on_farm_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"Weaners_on_farm","Weaners_on_farm_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"Fattening_on_farm","Fattening_on_farm_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"ili_signs","ili_signs_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptomatic_report","symptomatic_report_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"horses_closeby","horses_closeby_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"dogs_closeby","dogs_closeby_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"chicken_closeby","chicken_closeby_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"turkey_closeby","turkey_closeby_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"cattle_closeby","cattle_closeby_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"cats_closeby","cats_closeby_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"other_pigs_closeby","other_pigs_closeby_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"other_poultry_closeby","other_poultry_closeby_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"quarantaine_concept","quarantaine_concept_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"quarantaine_in_herd_contact","quarantaine_in_herd_contact_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"herds_of_origin_respiratory_symptoms","herds_of_origin_respiratory_symptoms_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"herds_of_origin_influenza_diagnosis","herds_of_origin_influenza_diagnosis_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"mode_stable_occupation_ai_centre","mode_stable_occupation_ai_centre_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"mode_stable_occupation_gilts_stable","mode_stable_occupation_gilts_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"mode_stable_occupation_farrowing_stable","mode_stable_occupation_farrowing_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"mode_stable_occupation_weaner_stable","mode_stable_occupation_weaner_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"mode_stable_occupation_fattener_stable","mode_stable_occupation_fattener_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"passing_through_other_age_group","passing_through_other_age_group_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"outside_area","outside_area_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"outside_area_ai_centre","outside_area_ai_centre_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"outside_area_gilts_stable","outside_area_gilts_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"outside_area_farrowing_stable","outside_area_farrowing_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"outside_area_weaner_stable","outside_area_weaner_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"outside_area_fattener_stable","outside_area_fattener_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"outside_area_contact_poultry","outside_area_contact_poultry_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"outside_area_contact_wild_birds","outside_area_contact_wild_birds_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"outside_area_contact_wild_boars","outside_area_contact_wild_boars_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"contact_bird_in_stable","contact_bird_in_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"cleaning_gilts_stable","cleaning_gilts_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"cleaning_farrowing_stable","cleaning_farrowing_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"cleaning_weaner_stable","cleaning_weaner_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"desinfection_ai_centre","desinfection_ai_centre_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"desinfection_gilts_stable","desinfection_gilts_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"desinfection_fattener_stable","desinfection_fattener_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"desinfection_quarantaine","desinfection_quarantaine_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"drying_gilts_stable","drying_gilts_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"drying_farrowing_stable","drying_farrowing_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"drying_weaner_stable","drying_weaner_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"drying_quarantaine","drying_quarantaine_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"cleaning_desinfection_transport_vehicle","cleaning_desinfection_transport_vehicle_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"cleaning_shipment_area","cleaning_shipment_area_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_ppe_stable","caretaker_ppe_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_ppe_washing_interval","caretaker_ppe_washing_interval_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_ppe_per_unit","caretaker_ppe_per_unit_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_per_unit","caretaker_per_unit_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_work_flow_hygiene_between_units","caretaker_work_flow_hygiene_between_units_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_entry_ppe_only","caretaker_entry_ppe_only_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_disease_management","caretaker_disease_management_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_hands_washed_before_entry","caretaker_hands_washed_before_entry_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_boot_desinfection","caretaker_boot_desinfection_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_contact_other_pigs","caretaker_contact_other_pigs_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"caretaker_contact_poultry","caretaker_contact_poultry_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"visitors_list","visitors_list_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"ppe_visitors","ppe_visitors_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"visitors_hands_washed_before_entry","visitors_hands_washed_before_entry_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"visitors_disease_management","visitors_disease_management_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"visitors_contact_other_pigs","visitors_contact_other_pigs_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"visitors_respiratory_symptoms","visitors_respiratory_symptoms_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"return_to_service_rate","return_to_service_rate_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"farrowing_rate","farrowing_rate_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"piglets_per_sow_year","piglets_per_sow_year_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"abortions_per_sow_year","abortions_per_sow_year_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"piglet_mortality","piglet_mortality_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"feed_conversion_rate_fatteners","feed_conversion_rate_fatteners_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"time_respiratory_disease","time_respiratory_disease_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"outbreak_since_examination","outbreak_since_examination_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"suckling_piglets_diseased","suckling_piglets_diseased_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"weaners_diseased","weaners_diseased_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"fatteners_diseased","fatteners_diseased_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"young_sows_diseased","young_sows_diseased_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"old_sows_diseased","old_sows_diseased_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"boars_diseased","boars_diseased_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"report_killed_suckling_piglets","report_killed_suckling_piglets_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"report_killed_weaners","report_killed_weaners_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"report_killed_fatteners","report_killed_fatteners_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"report_killed_young_sows","report_killed_young_sows_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"report_killed_old_sows","report_killed_old_sows_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_swine_sneezing","symptom_swine_sneezing_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_swine_coughing","symptom_swine_coughing_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_swine_nasal_discharge","symptom_swine_nasal_discharge_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_swine_fever","symptom_swine_fever_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_swine_feed_intake_red","symptom_swine_feed_intake_red_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_swine_apathy","symptom_swine_apathy_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_swine_dyspnoea","symptom_swine_dyspnoea_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"vet_consultation","vet_consultation_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"influenza_diagnosis","influenza_diagnosis_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"influenza_vaccination","influenza_vaccination_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"respiratory_history_human","respiratory_history_human_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"respiratory_history_contact_person","respiratory_history_contact_person_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_human_sneezing","symptom_human_sneezing_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_human_coughing","symptom_human_coughing_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_human_brobchitis","symptom_human_brobchitis_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_human_pneumonia","symptom_human_pneumonia_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_human_fever","symptom_human_fever_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_human_headache","symptom_human_headache_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_human_myalgia","symptom_human_myalgia_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"symptom_severity","symptom_severity_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"physician_consultation","physician_consultation_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"flu_vaccination","flu_vaccination_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"flu_vaccination_contacts","flu_vaccination_contacts_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"chronic_disease_condition","chronic_disease_condition_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"smoker","smoker_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"bird_nests","bird_nests_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"verification_outside_area_contact_poultry","verification_outside_area_contact_poultry_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"verification_outside_area_contact_wild_birds","verification_outside_area_contact_wild_birds_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"verification_contact_poultry_stable","verification_contact_poultry_stable_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"verification_outside_area_contact_wild_boars","verification_outside_area_contact_wild_boars_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"farrowing_sows_coughing","farrowing_sows_coughing_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"farrowing_piglets_reduced_general_wellbeing","farrowing_piglets_reduced_general_wellbeing_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"farrowing_nest_temperature_ok","farrowing_nest_temperature_ok_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"weaners_reduced_general_wellbeing","weaners_reduced_general_wellbeing_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"weaners_discharge","weaners_discharge_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"fatteners_reduced_general_wellbeing","fatteners_reduced_general_wellbeing_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"fatteners_discharge","fatteners_discharge_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"farrowing_piglet_litters_sneezing","farrowing_piglet_litters_sneezing_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
"farrowing_piglet_litters_coughing","farrowing_piglet_litters_coughing_FALSE","FALSE reference dummy (represents lowest risk or reference group)"
